country,year,totalrefugees,,,,,
Austria,2023,94984,,,,,
Austria,2022,80339,,,,,
Belgium,2023,69996,,,,,
Belgium,2022,55504,,,,,
Czechia,2023,503698,,,,,
Czechia,2022,434629,,,,,
Denmark,2023,41297,,,,,
Denmark,2022,34291,,,,,
Estonia,2023,68930,,,,,
Estonia,2022,53496,,,,,
Finland,2023,47067,,,,,
Finland,2022,38844,,,,,
France,2023,118994,,,,,
France,2022,99650,,,,,
Germany,2023,1056628,,,,,
Germany,2022,984858,,,,,
Hungary,2023,34248,,,,,
Hungary,2022,28592,,,,,
Iceland,2023,2345,,,,,
Iceland,2022,1388,,,,,
Ireland,2023,78462,,,,,
Ireland,2022,45906,,,,,
Italy,2023,173213,,,,,
Italy,2022,158881,,,,,
Latvia,2023,32882,,,,,
Latvia,2022,38538,,,,,
Lithuania,2023,76155,,,,,
Lithuania,2022,65058,,,,,
Moldova,2022,479513,,,,,
Moldova,2023,107010,,,,,
Netherlands,2023,89730,,,,,
Netherlands,2022,76233,,,,,
Norway,2023,44014,,,,,
Norway,2022,26693,,,,,
Poland,2023,1577289,,,,,
Poland,2022,1368070,,,,,
Portugal,2023,58242,,,,,
Portugal,2022,48549,,,,,
Romania,2022,989357,,,,,
Romania,2023,109559,,,,,
Slovakia,2023,112715,,,,,
Slovakia,2022,93228,,,,,
Slovenia,2023,9156,,,,,
Slovenia,2022,7561,,,,,
Spain,2023,171865,,,,,
Spain,2022,140614,,,,,
Sweden,2023,53514,,,,,
Sweden,2022,52035,,,,,
Switzerland,2023,83428,,,,,
Switzerland,2022,60785,,,,,
Turkey,2023,95874,,,,,
Turkey,2022,142305,,,,,
United Kingdom,2023,191900,,,,,
United Kingdom,2022,128336,,,,,